period,target,val_mae,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,objective
15m,volume,2.3156445026397705,800,5,0.05,0.8,0.7,3,1.0,,
15m,AHT,29.295680572285256,600,7,0.02,1.0,1.0,3,5.0,0.5,reg:absoluteerror
